word,frequency,probability
el,16,0.05536332179930796
carro,9,0.031141868512110725
azul,5,0.01730103806228374
y,11,0.03806228373702422
rojo,4,0.01384083044982699
eran,1,0.0034602076124567475
muy,1,0.0034602076124567475
unidos,1,0.0034602076124567475
pasaban,1,0.0034602076124567475
sus,5,0.01730103806228374
das,1,0.0034602076124567475
explorando,2,0.006920415224913495
la,9,0.031141868512110725
ciudad,1,0.0034602076124567475
juntos,2,0.006920415224913495
cada,1,0.0034602076124567475
maana,1,0.0034602076124567475
se,5,0.01730103806228374
encontraban,1,0.0034602076124567475
en,9,0.031141868512110725
garaje,1,0.0034602076124567475
donde,2,0.006920415224913495
sol,2,0.006920415224913495
brillaba,1,0.0034602076124567475
sobre,2,0.006920415224913495
carroceras,1,0.0034602076124567475
relucientes,1,0.0034602076124567475
siempre,4,0.01384083044982699
era,3,0.010380622837370242
primero,1,0.0034602076124567475
despertarse,1,0.0034602076124567475
emocionado,1,0.0034602076124567475
por,3,0.010380622837370242
las,2,0.006920415224913495
aventuras,1,0.0034602076124567475
que,10,0.03460207612456748
les,1,0.0034602076124567475
esperaban,2,0.006920415224913495
un,6,0.020761245674740483
da,2,0.006920415224913495
decidieron,1,0.0034602076124567475
hora,1,0.0034602076124567475
de,7,0.02422145328719723
salir,1,0.0034602076124567475
a,6,0.020761245674740483
carretera,1,0.0034602076124567475
descubrir,1,0.0034602076124567475
nuevos,1,0.0034602076124567475
lugares,1,0.0034602076124567475
as,1,0.0034602076124567475
sin,3,0.010380622837370242
pensarlo,1,0.0034602076124567475
dos,2,0.006920415224913495
veces,1,0.0034602076124567475
encendieron,1,0.0034602076124567475
motores,1,0.0034602076124567475
pusieron,1,0.0034602076124567475
marcha,1,0.0034602076124567475
medida,1,0.0034602076124567475
avanzaban,1,0.0034602076124567475
lleno,1,0.0034602076124567475
energa,1,0.0034602076124567475
sugera,1,0.0034602076124567475
detenerse,1,0.0034602076124567475
parque,1,0.0034602076124567475
para,2,0.006920415224913495
disfrutar,1,0.0034602076124567475
picnic,1,0.0034602076124567475
con,2,0.006920415224913495
su,3,0.010380622837370242
espritu,1,0.0034602076124567475
ms,2,0.006920415224913495
tranquilo,1,0.0034602076124567475
estuvo,1,0.0034602076124567475
acuerdo,1,0.0034602076124567475
pronto,1,0.0034602076124567475
encontraron,1,0.0034602076124567475
lugar,1,0.0034602076124567475
perfecto,2,0.006920415224913495
bajo,1,0.0034602076124567475
gran,1,0.0034602076124567475
rbol,1,0.0034602076124567475
mientras,3,0.010380622837370242
disfrutaban,1,0.0034602076124567475
bocadillos,1,0.0034602076124567475
risas,1,0.0034602076124567475
notaron,1,0.0034602076124567475
otros,1,0.0034602076124567475
carros,1,0.0034602076124567475
detenan,1,0.0034602076124567475
admirarlos,1,0.0034602076124567475
soleado,1,0.0034602076124567475
todo,1,0.0034602076124567475
pareca,1,0.0034602076124567475
embargo,1,0.0034602076124567475
al,2,0.006920415224913495
poco,1,0.0034602076124567475
tiempo,1,0.0034602076124567475
fuerte,1,0.0034602076124567475
trueno,1,0.0034602076124567475
reson,1,0.0034602076124567475
cielo,1,0.0034602076124567475
los,1,0.0034602076124567475
amigos,1,0.0034602076124567475
miraron,1,0.0034602076124567475
hacia,2,0.006920415224913495
arriba,1,0.0034602076124567475
vieron,1,0.0034602076124567475
nubes,1,0.0034602076124567475
oscuras,1,0.0034602076124567475
acercndose,1,0.0034602076124567475
rpidamente,1,0.0034602076124567475
tenemos,1,0.0034602076124567475
irnos,1,0.0034602076124567475
dijo,1,0.0034602076124567475
preocupado,1,0.0034602076124567475
tormenta,3,0.010380622837370242
no,1,0.0034602076124567475
te,1,0.0034602076124567475
preocupes,1,0.0034602076124567475
podemos,1,0.0034602076124567475
refugiarnos,1,0.0034602076124567475
cueva,3,0.010380622837370242
cercana,1,0.0034602076124567475
respondi,1,0.0034602076124567475
encontraba,1,0.0034602076124567475
una,1,0.0034602076124567475
solucin,1,0.0034602076124567475
rpida,1,0.0034602076124567475
ambos,1,0.0034602076124567475
aceleraron,1,0.0034602076124567475
resguardaron,1,0.0034602076124567475
lluvia,1,0.0034602076124567475
pasara,1,0.0034602076124567475
comenzaron,1,0.0034602076124567475
hablar,1,0.0034602076124567475
sueos,2,0.006920415224913495
soaba,1,0.0034602076124567475
viajar,1,0.0034602076124567475
carreteras,1,0.0034602076124567475
lejanas,1,0.0034602076124567475
anhelaba,1,0.0034602076124567475
participar,1,0.0034602076124567475
carreras,1,0.0034602076124567475
emocionantes,1,0.0034602076124567475
final,1,0.0034602076124567475
disip,1,0.0034602076124567475
volvi,1,0.0034602076124567475
brillar,1,0.0034602076124567475
salieron,1,0.0034602076124567475
renovados,1,0.0034602076124567475
listos,1,0.0034602076124567475
seguir,1,0.0034602076124567475
prometindose,1,0.0034602076124567475
apoyarse,1,0.0034602076124567475
esa,1,0.0034602076124567475
experiencia,1,0.0034602076124567475
fortaleci,1,0.0034602076124567475
an,1,0.0034602076124567475
amistad,1,0.0034602076124567475
continuaron,1,0.0034602076124567475
viaje,1,0.0034602076124567475
importar,1,0.0034602076124567475
adversidades,1,0.0034602076124567475
pudieran,1,0.0034602076124567475
encontrar,1,0.0034602076124567475
camino,1,0.0034602076124567475
